"year","unitid","inst_name","state_name","inst_control","institution_level","rev_tuition_fees_gross","exp_instruc_total","exp_acad_supp_total","exp_net_grant_aid_total","assets","liabilities","equity_total","total_revenues_additions","total_expenses_deductions"
"2016","108269","Academy of Chinese Culture and Health Sciences","California","Private not-for-profit","Four or more years","1326056","772892","217232","","1551128","757473","","1634128","1631073"
"2016","108861","American Baptist Seminary of the West","California","Private not-for-profit","Four or more years","623863","886042","252092","","17473884","4013311","","3389182","2858976"
"2016","108870","American Film Institute Conservatory","California","Private not-for-profit","Four or more years","9986766","2633979","6918799","","41986736","3660490","","34089248","34265120"
"2016","109086","American Conservatory Theater","California","Private not-for-profit","Four or more years","2777972","1321154","1227149","","99307888","44157900","","23523404","25757284"
"2016","109350","Antelope Valley College","California","Public","Four or more years","14312824","42144584","10855721","17486224","480373440","441172608","","149441344","147485520"
"2016","109651","Art Center College of Design","California","Private not-for-profit","Four or more years","107322000","52331000","14492000","","257860000","88648000","","109534000","88665000"
"2016","109785","Azusa Pacific University","California","Private not-for-profit","Four or more years","262599568","91036860","20488158","","362784896","189771632","","251591296","249237456"
"2016","109819","Bakersfield College","California","Public","Four or more years","21428660","62531588","22409896","33065348","575139008","510438656","","242154544","243267488"
"2016","110060","Bethesda University","California","Private not-for-profit","Four or more years","1986252","312367","214909","340454","19658288","3097903","","3457747","3135916"
"2016","110097","Biola University","California","Private not-for-profit","Four or more years","162702000","58611000","13925000","","454044992","165344000","","194412000","161440992"
"2016","110307","Phillips Graduate University","California","Private not-for-profit","Four or more years","3821328","3979458","127184","","3013244","2908286","","5018856","5841867"
"2016","110316","California Institute of Integral Studies","California","Private not-for-profit","Four or more years","26528622","14426781","1506364","","28881392","20062588","","30132308","29978436"
"2016","110361","California Baptist University","California","Private not-for-profit","Four or more years","228103376","80927350","5669554","514804","545083264","374177568","","203487328","181250496"
"2016","110370","California College of the Arts","California","Private not-for-profit","Four or more years","88478104","35002000","7051000","","144067008","49942000","","80281000","74079000"
"2016","110398","University of California-Hastings College of Law","California","Public","Four or more years","41451656","26377056","4407227","544894","202147008","64268388","","66927256","57459388"
"2016","110404","California Institute of Technology","California","Private not-for-profit","Four or more years","104116000","221509380","47741736","","5417000960","2376492032","","3398678016","2978841856"
"2016","110413","California Lutheran University","California","Private not-for-profit","Four or more years","128278072","41087360","6867993","","329901344","85715120","","127560640","112010592"
"2016","110422","California Polytechnic State University-San Luis Obispo","California","Public","Four or more years","228518624","196720290","49116390","16044661","1162065408","1209675264","","465100064","477430528"
"2016","110486","California State University-Bakersfield","California","Public","Four or more years","65872324","54673588","22473434","25026896","231643760","247481136","","169306000","172170208"
"2016","110495","California State University-Stanislaus","California","Public","Four or more years","76770904","69446380","15971341","28192348","219330736","227816384","","173687376","178120800"
"2016","110501","California State University-Chancellors Office","California","Public","Four or more years","","39771784","60858390","7824905","1423566336","2584572160","","560628800","544735360"
"2016","110510","California State University-San Bernardino","California","Public","Four or more years","151515968","116311470","25995460","43205764","534829344","550571840","","315927296","304407488"
"2016","110529","California State Polytechnic University-Pomona","California","Public","Four or more years","192447232","152815660","44784080","36163108","914271808","857858112","","389278688","375594976"
"2016","110538","California State University-Chico","California","Public","Four or more years","128371344","114076340","33197094","33995716","463590400","492862784","","297052864","299239840"
"2016","110547","California State University-Dominguez Hills","California","Public","Four or more years","101605184","82628904","24197028","31070784","233276432","278188960","","208675712","218327120"
"2016","110556","California State University-Fresno","California","Public","Four or more years","172769280","147174110","40151420","60705068","411145152","498918208","","365630176","393204032"
"2016","110565","California State University-Fullerton","California","Public","Four or more years","298197728","226898080","45939470","68794312","741646272","931282176","","578548928","571326272"
"2016","110574","California State University-East Bay","California","Public","Four or more years","137122144","89745064","50176920","23128100","354735360","438693504","","268225120","286450368"
"2016","110583","California State University-Long Beach","California","Public","Four or more years","273016576","233787470","52469616","66133980","732022976","823440128","","556089728","555084992"
"2016","110592","California State University-Los Angeles","California","Public","Four or more years","193841552","148952480","51440576","65421552","482282880","494763168","","392239904","398057440"
"2016","110608","California State University-Northridge","California","Public","Four or more years","304396480","218408850","59225104","87761584","788042624","816195584","","591466560","599561856"
"2016","110617","California State University-Sacramento","California","Public","Four or more years","228988608","182738300","38585024","68158016","726142976","847759104","","481212960","476229152"
"2016","110635","University of California-Berkeley","California","Public","Four or more years","1024150080","824277000","203147970","135583472","","","","",""
"2016","110644","University of California-Davis","California","Public","Four or more years","717566016","924248600","326360830","87817200","","","","",""
"2016","110653","University of California-Irvine","California","Public","Four or more years","651170944","759765400","213353120","83665968","","","","",""
"2016","110662","University of California-Los Angeles","California","Public","Four or more years","1049619200","2245090000","765903200","120936968","","","","",""
"2016","110671","University of California-Riverside","California","Public","Four or more years","378915936","331310880","61956940","61975584","","","","",""
"2016","110680","University of California-San Diego","California","Public","Four or more years","788744064","957956300","527582270","63156924","","","","",""
"2016","110699","University of California-San Francisco","California","Public","Four or more years","96536336","382645800","347276600","19956704","","","","",""
"2016","110705","University of California-Santa Barbara","California","Public","Four or more years","428973120","309341660","77077010","87013600","","","","",""
"2016","110714","University of California-Santa Cruz","California","Public","Four or more years","333920800","196164510","49451070","41775904","","","","",""
"2016","110918","California Christian College","California","Private not-for-profit","Four or more years","122910","63052","66362","","1280525","4638","","367361","414455"
"2016","111081","California Institute of the Arts","California","Private not-for-profit","Four or more years","64198748","34881370","9816348","","236871328","15719181","","86108464","66518504"
"2016","111188","California State University Maritime Academy","California","Public","Four or more years","12783125","21569462","2635566","837813","136007536","97965624","","60225056","62932608"
"2016","111391","California Western School of Law","California","Private not-for-profit","Four or more years","35801232","7462099","9428385","","70471520","16293875","","26669404","27366432"
"2016","111948","Chapman University","California","Private not-for-profit","Four or more years","389929952","132241384","50243630","","1253475712","318031776","","374379392","291795904"
"2016","111966","Charles R Drew University of Medicine and Science","California","Private not-for-profit","Four or more years","14857500","9788700","7258300","","168360608","51652100","","60553100","50404100"
"2016","112075","Concordia University-Irvine","California","Private not-for-profit","Four or more years","82956184","29348788","5327008","","146289056","43205672","","82518992","69850184"
"2016","112084","San Diego Christian College","California","Private not-for-profit","Four or more years","17292120","3984881","3403046","","17437904","12051423","","13476701","13419129"
"2016","112127","Church Divinity School of the Pacific","California","Private not-for-profit","Four or more years","1160151","941490","343945","","27036692","3389779","","6330446","4799127"
"2016","112251","Claremont Graduate University","California","Private not-for-profit","Four or more years","51827100","34017416","6868782","1043519","270978464","75126936","","66979060","69277944"
"2016","112260","Claremont McKenna College","California","Private not-for-profit","Four or more years","69068000","38640000","8106000","","1326169984","265395008","","200707008","115518000"
"2016","112446","Coleman University","California","Private not-for-profit","Four or more years","6399651","1751976","286862","","4295541","1453170","","9620239","9240606"
"2016","112525","Western University of Health Sciences","California","Private not-for-profit","Four or more years","179739840","117872936","27371120","","353969952","209535824","","211183072","185738208"
"2016","112570","Columbia College-Hollywood","California","Private not-for-profit","Four or more years","8522596","1855796","1350500","","14151853","8591503","","9817045","10087886"
"2016","113537","Dell'Arte International School of Physical Theatre","California","Private not-for-profit","Four or more years","774167","438110","185000","","1425237","470088","","1062960","1218425"
"2016","113698","Dominican University of California","California","Private not-for-profit","Four or more years","65462364","28126400","4863981","","141185792","34439160","","59948812","57346640"
"2016","113704","Dominican School of Philosophy & Theology","California","Private not-for-profit","Four or more years","793940","1046178","416965","","2645117","65461","","3190890","2681022"
"2016","114433","Feather River Community College District","California","Public","Four or more years","1832360","10613326","813699","3888824","21318214","17315892","","25750076","25835156"
"2016","114549","Fielding Graduate University","California","Private not-for-profit","Four or more years","20424180","10121188","2146255","","29076472","7028578","","21752368","21383998"
"2016","114716","Foothill College","California","Public","Four or more years","28265468","67966160","12330402","5262540","","","","",""
"2016","114734","Franciscan School of Theology","California","Private not-for-profit","Four or more years","505761","428772","270707","","10557857","51385","","2127574","1628367"
"2016","114813","Fresno Pacific University","California","Private not-for-profit","Four or more years","60787204","18049424","11294834","","77110968","29088092","","59268304","59866480"
"2016","114831","Foothill-De Anza Community College District","California","Public","Four or more years","","","","","962366656","1133762688","","344344768","392037920"
"2016","114840","Fuller Theological Seminary in California","California","Private not-for-profit","Four or more years","28201000","21256000","4894000","","275279008","53259000","","77531000","62079000"
"2016","115083","Golden Gate University-San Francisco","California","Private not-for-profit","Four or more years","52150200","16937428","11467800","","141605920","49219484","","52051352","52752388"
"2016","115214","Graduate Theological Union","California","Private not-for-profit","Four or more years","2860925","1790143","3139660","","61181152","1266778","","11393075","9199107"
"2016","115409","Harvey Mudd College","California","Private not-for-profit","Four or more years","43471992","28503484","6637346","","472979360","59246808","","92497296","65387880"
"2016","115728","Holy Names University","California","Private not-for-profit","Four or more years","23165344","7800985","1849519","","67846032","14636831","","33064904","30423812"
"2016","115755","Humboldt State University","California","Public","Four or more years","63801724","63726772","19952704","12921342","253205856","274326656","","172970768","170368688"
"2016","115773","Humphreys University-Stockton and Modesto Campuses","California","Private not-for-profit","Four or more years","7800601","3206241","1495978","","26550172","8968177","","8545740","9218847"
"2016","116712","John F. Kennedy University","California","Private not-for-profit","Four or more years","17631604","9577127","4193605","","32543872","18313720","","26966860","27054032"
"2016","116846","American Jewish University","California","Private not-for-profit","Four or more years","5298834","3685242","4417346","","144165536","40248844","","21588826","24622260"
"2016","117104","Life Pacific College","California","Private not-for-profit","Four or more years","6741819","2364889","905161","","30119036","537582","","9044085","9935521"
"2016","117140","University of La Verne","California","Private not-for-profit","Four or more years","191224416","64543944","17026140","","390745504","167246336","","174004000","149214416"
"2016","117168","Laguna College of Art and Design","California","Private not-for-profit","Four or more years","15230643","6784310","1854138","","26477074","14122152","","14653132","13337737"
"2016","117520","Life Chiropractic College West","California","Private not-for-profit","Four or more years","19742660","7201436","2439489","","35799180","21034448","","24411290","21263942"
"2016","117557","Lincoln University","California","Private not-for-profit","Four or more years","6937460","1928850","789040","","6598035","1397612","","7177070","7092186"
"2016","117575","Southern California Seminary","California","Private not-for-profit","Four or more years","2510506","866871","","","867426","190628","","2961247","2620869"
"2016","117627","La Sierra University","California","Private not-for-profit","Four or more years","62720164","20733168","6019268","15413662","188449488","38015368","","89978032","82207560"
"2016","117636","Loma Linda University","California","Private not-for-profit","Four or more years","160052000","119631000","46821000","","1538084992","806209024","","334267008","291996000"
"2016","117672","Southern California University of Health Sciences","California","Private not-for-profit","Four or more years","20578870","11508061","1501730","","36100264","8029883","","23843140","25894576"
"2016","117751","The Master's University and Seminary","California","Private not-for-profit","Four or more years","35813332","13707439","3295391","","89515136","35057496","","46070480","40441768"
"2016","117946","Loyola Marymount University","California","Private not-for-profit","Four or more years","371128000","144941000","50443000","","1265111040","302712000","","403855008","360600000"
"2016","118541","Marymount California University","California","Private not-for-profit","Four or more years","34797724","6967280","1880752","","45576416","9668604","","34165340","27630770"
"2016","118693","Menlo College","California","Private not-for-profit","Four or more years","27082478","6133041","2542968","","42926032","13342024","","27757196","26073912"
"2016","118888","Mills College","California","Private not-for-profit","Four or more years","49655748","22470384","6100159","","320699936","44119724","","82170656","66812572"
"2016","118976","Modesto Junior College","California","Public","Four or more years","18341398","44703560","9852573","1519660","","","","",""
"2016","119058","Middlebury Institute of International Studies at Monterey","California","Private not-for-profit","Four or more years","","","","","","","","",""
"2016","119173","Mount Saint Mary's University","California","Private not-for-profit","Four or more years","100741128","33205442","9586039","","256071840","13764525","","108788296","88735216"
"2016","119605","National University","California","Private not-for-profit","Four or more years","218048320","81091576","29122614","","855136192","59515348","","304999552","227645184"
"2016","119678","Naval Postgraduate School","California","Public","Four or more years","","","","","","","","",""
"2016","120166","Northwestern Polytechnic University","California","Private not-for-profit","Four or more years","","","","","","","","",""
"2016","120184","Notre Dame de Namur University","California","Private not-for-profit","Four or more years","35574452","11632560","5041713","","75183168","19343840","","38587356","36775064"
"2016","120254","Occidental College","California","Private not-for-profit","Four or more years","104021104","41910068","10075729","","720295936","134454736","","169719696","116996128"
"2016","120403","Otis College of Art and Design","California","Private not-for-profit","Four or more years","48418024","21413888","4476569","","111913912","51958700","","43180096","42067648"
"2016","120537","Hope International University","California","Private not-for-profit","Four or more years","14583422","7717252","2344266","","36165736","17591764","","23315152","25659102"
"2016","120698","Palo Alto University","California","Private not-for-profit","Four or more years","29858308","17186580","1266610","","28236668","11744293","","30478152","28202884"
"2016","120740","Pacific Lutheran Theological Seminary","California","Private not-for-profit","Four or more years","","","","","","","","",""
"2016","120768","Pacific Oaks College","California","Private not-for-profit","Four or more years","20273920","6809737","669720","","39522260","23729098","","19322200","19077676"
"2016","120795","Pacific School of Religion","California","Private not-for-profit","Four or more years","1660304","2189929","817179","","43916144","2356427","","10417536","6781417"
"2016","120838","Pacific States University","California","Private not-for-profit","Four or more years","1565804","410459","714892","","3036960","574214","","1658117","2131906"
"2016","120865","Pacific Union College","California","Private not-for-profit","Four or more years","36074024","14408057","2431215","","89366424","46845796","","47242596","48237120"
"2016","120883","University of the Pacific","California","Private not-for-profit","Four or more years","304749120","146720430","27851212","","1067228672","302225280","","375323392","330957280"
"2016","121150","Pepperdine University","California","Private not-for-profit","Four or more years","350208000","92999000","58838000","","1746358016","449132992","","440820992","322155008"
"2016","121257","Pitzer College","California","Private not-for-profit","Four or more years","65931312","23562364","4248656","","280229696","94933424","","71933696","59843016"
"2016","121309","Point Loma Nazarene University","California","Private not-for-profit","Four or more years","106476464","34522612","8986342","","231832144","71958496","","115404552","97667496"
"2016","121345","Pomona College","California","Private not-for-profit","Four or more years","81740000","64678000","16848000","","2923793920","336641984","","370278016","169082000"
"2016","121619","Santa Ana College","California","Public","Four or more years","18271844","71912020","17653360","6510852","","","","",""
"2016","121628","Pardee RAND Graduate School","California","Private not-for-profit","Four or more years","2131837","731870","1936051","171969","","","","",""
"2016","121691","University of Redlands","California","Private not-for-profit","Four or more years","151076384","53856908","10639147","","366044512","102666880","","143907648","127562544"
"2016","121886","Rio Hondo College","California","Public","Four or more years","15351166","53883230","4656806","21529928","360495360","294729600","","138766240","135683904"
"2016","122117","Dongguk University-Los Angeles","California","Private not-for-profit","Four or more years","1568131","600593","311682","","3136520","1937483","","1932775","2223385"
"2016","122126","Rudolf Steiner College","California","Private not-for-profit","Four or more years","","","","","","","","",""
"2016","122296","Samuel Merritt University","California","Private not-for-profit","Four or more years","62438868","36888490","9261887","","228612112","53149432","","80502656","65371744"
"2016","122375","San Diego Mesa College","California","Public","Four or more years","17264488","86107010","15662858","23677954","383777312","417559552","","136797168","157493824"
"2016","122409","San Diego State University","California","Public","Four or more years","314237664","214617570","66916836","35791616","1233507968","1137206144","","624373760","571673344"
"2016","122436","University of San Diego","California","Private not-for-profit","Four or more years","336688000","127852000","34676000","","1286590976","270252992","","413775008","321160992"
"2016","122454","San Francisco Art Institute","California","Private not-for-profit","Four or more years","21047036","6172735","824853","","62145856","20712684","","20925996","21987478"
"2016","122506","San Francisco Conservatory of Music","California","Private not-for-profit","Four or more years","19349000","11374000","958000","","175952992","21485000","","66275000","25610000"
"2016","122597","San Francisco State University","California","Public","Four or more years","214807664","198766620","48745776","45477448","780683264","920086272","","490573312","505135392"
"2016","122603","San Francisco Theological Seminary","California","Private not-for-profit","Four or more years","987535","1680204","1050723","","82191504","12265233","","8649390","8894417"
"2016","122612","University of San Francisco","California","Private not-for-profit","Four or more years","388500992","181516000","36527000","","990004992","264187008","","417780992","367393984"
"2016","122649","San Joaquin College of Law","California","Private not-for-profit","Four or more years","3389241","1021152","942121","65746","6525831","906471","","4123989","3889789"
"2016","122728","William Jessup University","California","Private not-for-profit","Four or more years","31903560","8713140","4227029","","101654328","79530264","","30233480","29990152"
"2016","122755","San Jose State University","California","Public","Four or more years","279625376","218855680","50590104","30938344","1116891520","1168358912","","551674240","520730784"
"2016","122782","San Mateo County Community College District Office","California","Public","Four or more years","","23018826","2999937","","206216736","222118400","","59857084","57921372"
"2016","122931","Santa Clara University","California","Private not-for-profit","Four or more years","334660992","136357000","48789000","458000","1988763008","422376992","","478161984","361167008"
"2016","122977","Santa Monica College","California","Public","Four or more years","76016128","120026930","24889768","31736564","815449536","845371136","","281511808","278892992"
"2016","123095","Saybrook University","California","Private not-for-profit","Four or more years","12963483","4869345","1880825","","9214259","2756723","","13003145","12553922"
"2016","123165","Scripps College","California","Private not-for-profit","Four or more years","53424448","33049320","","","551581376","88286192","","114026344","67841632"
"2016","123280","Shasta Bible College and Graduate School","California","Private not-for-profit","Four or more years","278840","157585","33858","","1761456","179315","","759371","755063"
"2016","123299","Shasta College","California","Public","Four or more years","9185043","23214202","6376358","14246969","104432464","109002312","","82446872","83895728"
"2016","123448","Trinity Law School","California","Private not-for-profit","Four or more years","4127245","1128534","714268","","1759081","3801142","","3819568","4147219"
"2016","123457","Simpson University","California","Private not-for-profit","Four or more years","19533228","7060109","1018646","","36520344","24147096","","19585272","19829428"
"2016","123509","Skyline College","California","Public","Four or more years","14190608","34533430","4500586","","309274976","333123616","","89771080","86867976"
"2016","123554","Saint Mary's College of California","California","Private not-for-profit","Four or more years","141254368","55538612","11987464","","343433760","106755352","","156623648","143247568"
"2016","123572","Sonoma State University","California","Public","Four or more years","78033824","63484490","20178788","10519060","445112160","449578560","","203310656","203981568"
"2016","123633","South Baylo University","California","Private not-for-profit","Four or more years","4863631","1324549","396483","","14540600","4340839","","6204493","6335784"
"2016","123651","Vanguard University of Southern California","California","Private not-for-profit","Four or more years","51951048","14222196","1469729","","54335064","24416732","","47408620","43731768"
"2016","123855","St John's Seminary","California","Private not-for-profit","Four or more years","3018110","1771335","861857","","85834728","12480344","","14214371","8256661"
"2016","123916","Starr King School for the Ministry","California","Private not-for-profit","Four or more years","1502570","869722","139598","","8332727","129525","","4591624","2464374"
"2016","123943","Marshall B Ketchum University","California","Private not-for-profit","Four or more years","22145548","27637428","2056479","","96993328","50599724","","41797336","41702020"
"2016","123952","Southern California Institute of Architecture","California","Private not-for-profit","Four or more years","24755000","6782000","6395800","","72508000","24120000","","25849000","19830000"
"2016","123961","University of Southern California","California","Private not-for-profit","Four or more years","1899585024","1926267000","73273960","","11961208832","3180990976","","5272360960","4370669056"
"2016","123970","Southwestern Law School","California","Private not-for-profit","Four or more years","41465552","13369306","8048167","","116941216","40828748","","42171172","36326636"
"2016","124283","Claremont School of Theology","California","Private not-for-profit","Four or more years","4661204","3084232","818177","","34070480","6719019","","7855354","10619343"
"2016","124292","Thomas Aquinas College","California","Private not-for-profit","Four or more years","9402548","5774614","1071315","","116402208","11770925","","48553536","18631496"
"2016","124487","Epic Bible College","California","Private not-for-profit","Four or more years","1517397","614641","79574","","3631139","2432581","","1586499","1768143"
"2016","124557","University of California-System Administration Central Office","California","Public","Four or more years","","311965380","163796830","","62984269824","59863318528","","35963080704","34898194432"
"2016","125037","The Santa Barbara and Ventura Colleges of Law at Ventura","California","Private not-for-profit","Four or more years","2672089","992922","18408","","4883994","1371907","","2921559","2842907"
"2016","125471","West Los Angeles College","California","Public","Four or more years","13003527","40392270","5062929","11628325","","","","",""
"2016","125718","Westminster Theological Seminary in California","California","Private not-for-profit","Four or more years","1270784","1996563","860564","","21029408","2458739","","9933555","4016443"
"2016","125727","Westmont College","California","Private not-for-profit","Four or more years","54879032","23021032","4397101","","310101632","85061008","","67635680","61492136"
"2016","125763","Whittier College","California","Private not-for-profit","Four or more years","90840960","31968104","6226320","","303901056","78470024","","75235528","76810488"
"2016","125897","Woodbury University","California","Private not-for-profit","Four or more years","33518096","19385936","4692817","","71075200","38412912","","40288100","40505196"
"2016","126012","The Wright Institute","California","Private not-for-profit","Four or more years","11525531","6982375","1101051","496134","21630916","5812297","","13450218","11628459"
"2016","126049","Thomas Jefferson School of Law","California","Private not-for-profit","Four or more years","28240216","4265029","4447120","","20239760","68566656","","24371396","23436772"
"2016","126076","Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary","California","Private not-for-profit","Four or more years","3781790","2384361","108747","30560","15077447","1681926","","4391988","4546517"
"2016","126100","Yosemite Community College District Office","California","Public","Four or more years","","","2019143","","528595744","527547072","","201676224","214047520"
"2016","142832","Adler University","Illinois","Private not-for-profit","Four or more years","37816928","18193748","3242524","","44760136","32146926","","39367532","37258528"
"2016","142887","American Academy of Art","Illinois","Private not-for-profit","Four or more years","7369564","1505646","172905","","23125372","22430712","","8432115","8160570"
"2016","142957","American Islamic College","Illinois","Private not-for-profit","Four or more years","158094","977840","128876","","4844612","56247","","627065","1970359"
"2016","143048","School of the Art Institute of Chicago","Illinois","Private not-for-profit","Four or more years","157720208","59448324","29944668","","","","","",""
"2016","143084","Augustana College","Illinois","Private not-for-profit","Four or more years","99467032","25035434","14414564","","345710240","68861432","","101686136","74983648"
"2016","143118","Aurora University","Illinois","Private not-for-profit","Four or more years","97762376","27531096","4999894","","188871984","56886624","","88320704","73486096"
"2016","143288","Blackburn College","Illinois","Private not-for-profit","Four or more years","11593671","3763651","1114999","","60835288","7535039","","17000956","14691243"
"2016","143297","Blessing Rieman College of Nursing and Health Sciences","Illinois","Private not-for-profit","Four or more years","4066180","2514359","484839","","","","","",""
"2016","143358","Bradley University","Illinois","Private not-for-profit","Four or more years","156178832","82317064","10814916","","651199040","195448912","","184785024","153298592"
"2016","143659","Catholic Theological Union at Chicago","Illinois","Private not-for-profit","Four or more years","4587242","4714049","649271","","65827692","24701516","","12126242","9780872"
"2016","143853","Midwestern University-Downers Grove","Illinois","Private not-for-profit","Four or more years","163760560","67227780","17897536","","714873344","205443312","","209347808","144450960"
"2016","143978","The Chicago School of Professional Psychology at Chicago","Illinois","Private not-for-profit","Four or more years","96772448","34567496","6575349","","106766344","24183968","","100254920","88865392"
"2016","144005","Chicago State University","Illinois","Public","Four or more years","31248876","64497944","9762987","6679700","169257552","27492978","","112596568","125022824"
"2016","144014","Chicago Theological Seminary","Illinois","Private not-for-profit","Four or more years","2020273","3660626","280143","","48510928","122877","","5549210","6342743"
"2016","144050","University of Chicago","Illinois","Private not-for-profit","Four or more years","829203584","1328176100","109359270","","11803013120","5154722304","","4147221248","3622060544"
"2016","144281","Columbia College Chicago","Illinois","Private not-for-profit","Four or more years","192470832","91973880","19162938","","500948192","140921536","","254847568","197515200"
"2016","144351","Concordia University-Chicago","Illinois","Private not-for-profit","Four or more years","76588632","38417836","5216691","","96521776","58156424","","73739816","68737952"
"2016","144740","DePaul University","Illinois","Private not-for-profit","Four or more years","682124032","258982000","60672000","","1624526976","624412032","","613372032","539718016"
"2016","144883","East-West University","Illinois","Private not-for-profit","Four or more years","8453126","2655785","421410","","96471376","27499260","","12507633","11800032"
"2016","144892","Eastern Illinois University","Illinois","Public","Four or more years","69046792","114063864","17351936","2952220","330357120","117466848","","209712064","210064864"
"2016","144962","Elmhurst College","Illinois","Private not-for-profit","Four or more years","102335120","26056000","7150397","","176351296","84588496","","84292096","65056344"
"2016","144971","Eureka College","Illinois","Private not-for-profit","Four or more years","13465784","4380258","732331","","55847568","16074798","","18052628","16047931"
"2016","145275","Garrett-Evangelical Theological Seminary","Illinois","Private not-for-profit","Four or more years","4180720","5211125","740147","","124226064","18277174","","22785610","11874181"
"2016","145336","Governors State University","Illinois","Public","Four or more years","47887816","56350696","2823046","5154132","153212224","52534040","","120818608","121405048"
"2016","145372","Greenville College","Illinois","Private not-for-profit","Four or more years","24998162","8853218","1289496","","62235480","11743668","","27184684","23387466"
"2016","145497","Hebrew Theological College","Illinois","Private not-for-profit","Four or more years","3514582","3630315","598200","","7760950","3982974","","7694381","7651009"
"2016","145558","Rosalind Franklin University of Medicine and Science","Illinois","Private not-for-profit","Four or more years","83739968","42918320","17249456","388699","227332688","110305872","","119702840","114918376"
"2016","145600","University of Illinois at Chicago","Illinois","Public","Four or more years","494952800","884436400","217463230","85779944","2577243392","1097971968","","3066242816","3094521344"
"2016","145619","Benedictine University","Illinois","Private not-for-profit","Four or more years","118803368","37201740","8890505","","172569184","75915856","","97898256","95107728"
"2016","145628","Illinois College of Optometry","Illinois","Private not-for-profit","Four or more years","27094848","11174417","1971149","","102705840","51938444","","43810180","39242548"
"2016","145637","University of Illinois at Urbana-Champaign","Illinois","Public","Four or more years","995303808","769556160","397473440","207954448","3801209600","1342566400","","2860440064","2780085248"
"2016","145646","Illinois Wesleyan University","Illinois","Private not-for-profit","Four or more years","76173184","33712212","5713387","","384068768","121358424","","79715512","75267680"
"2016","145691","Illinois College","Illinois","Private not-for-profit","Four or more years","28994574","9713393","4436546","","207601632","26106232","","36192888","33739696"
"2016","145725","Illinois Institute of Technology","Illinois","Private not-for-profit","Four or more years","252591008","81017000","17861000","","594100992","259475008","","290478016","271648000"
"2016","145813","Illinois State University","Illinois","Public","Four or more years","274075488","303169200","25036846","56740836","739198272","184785888","","599142976","591823936"
"2016","145886","Institute for Clinical Social Work","Illinois","Private not-for-profit","Four or more years","1184662","348200","644872","","1727589","229119","","1403717","1462992"
"2016","146241","The John Marshall Law School","Illinois","Private not-for-profit","Four or more years","42094800","18731836","4932292","","103815136","23487864","","36732164","36831368"
"2016","146339","Judson University","Illinois","Private not-for-profit","Four or more years","25288664","9825899","1228047","","53684524","16884542","","22233676","24289708"
"2016","146427","Knox College","Illinois","Private not-for-profit","Four or more years","56804996","18836746","4610310","","215504864","49530412","","68896752","50249096"
"2016","146481","Lake Forest College","Illinois","Private not-for-profit","Four or more years","66662812","16787382","4807016","","218002640","56813616","","63886840","53959712"
"2016","146490","Lake Forest Graduate School of Management","Illinois","Private not-for-profit","Four or more years","7485254","2203149","3044820","","18582632","2072663","","9807076","9759541"
"2016","146533","Lakeview College of Nursing","Illinois","Private not-for-profit","Four or more years","4172251","1869794","173501","194631","20655602","1669615","","5005463","4186368"
"2016","146612","Lewis University","Illinois","Private not-for-profit","Four or more years","136714432","57274256","5448498","15565589","229560032","96825712","","139520112","125396656"
"2016","146667","Lincoln Christian University","Illinois","Private not-for-profit","Four or more years","6567389","3289719","1262276","","27849220","12177513","","9979338","10497794"
"2016","146676","Lincoln College","Illinois","Private not-for-profit","Four or more years","13329982","4337558","1361295","","55599240","10034866","","15819566","18689816"
"2016","146719","Loyola University Chicago","Illinois","Private not-for-profit","Four or more years","567733568","187235300","71872360","","2143783424","664152512","","643930432","538882176"
"2016","146728","Lutheran School of Theology at Chicago","Illinois","Private not-for-profit","Four or more years","2222563","3574372","2023729","","54692820","18352824","","10306910","10722142"
"2016","146755","Trinity College of Nursing & Health Sciences","Illinois","Private not-for-profit","Four or more years","4570745","1825412","119827","3000","","","","",""
"2016","146825","MacMurray College","Illinois","Private not-for-profit","Four or more years","12587803","4571836","548562","","37482852","12923196","","12752494","13972604"
"2016","146977","McCormick Theological Seminary","Illinois","Private not-for-profit","Four or more years","928874","2875790","1086359","","100579296","21505384","","12601705","8658962"
"2016","147013","McKendree University","Illinois","Private not-for-profit","Four or more years","54158572","15228115","1552985","","106600440","53032288","","52372956","46093184"
"2016","147031","Meadville Lombard Theological School","Illinois","Private not-for-profit","Four or more years","1730422","1643252","56126","","28910696","512570","","5054236","3562306"
"2016","147129","Methodist College","Illinois","Private not-for-profit","Four or more years","12004984","6170493","919566","","","","","",""
"2016","147244","Millikin University","Illinois","Private not-for-profit","Four or more years","58029816","20993428","2574547","","256703728","47439908","","52665740","51699772"
"2016","147341","Monmouth College","Illinois","Private not-for-profit","Four or more years","33999976","14692289","2453414","","229008224","37825984","","47878360","38766608"
"2016","147369","Moody Bible Institute","Illinois","Private not-for-profit","Four or more years","35150228","29053308","6858462","","353361440","205726944","","114886768","116613848"
"2016","147536","National Louis University","Illinois","Private not-for-profit","Four or more years","58544112","21971134","8938493","","95902992","38660328","","72170504","67850520"
"2016","147590","National University of Health Sciences","Illinois","Private not-for-profit","Four or more years","19914584","10360981","1167191","","49995028","10680761","","23704180","20458828"
"2016","147660","North Central College","Illinois","Private not-for-profit","Four or more years","94250512","28228648","7388627","","353467200","112138640","","75530784","76837968"
